Name,Description,Alg,Category,Notes
SJ,"[U2' : [U R U' , M]]",U' R U' M U R' U' M' U2,M-Swap,
SK,U M U M' U2 M' U' M U,U M U M' U2 M' U' M U,Alg,
SL,"[U' R' B : [R2 , E]]",U' R' B R2 E R2 E' B' R U,4-Mover,
SM,M2' : (U M U M')2,M2',Alg,
SN,"[U M : [R' S' R , U']]",U M R' S' R U' R' S R U M' U',U-Swap,
SO,"[U' r' : [E' , R U R']]",U' r' E' R U R' E R U' R' r U,E-Swap,
SP,"[U l : [E' , L' U' L]]",U l E' L' U' L E L' U L l' U',E-Swap,
SQ,"[U' : [S , R B R']]",U' S R B R' S' R B' R' U,S-Swap,
SR,"[U2 : [U' L U , M]]",U L U M U' L' U M' U2,M-Swap,
ST,"[U2' : [U R' U' , M]]",U' R' U' M U R U' M' U2,M-Swap,
SU,"[D' : [R F R' , S']]",D' R F R' S' R F' R' S D,S-Swap,
SV,"[U L B' L' : [S , L2]]",U L B' L' S L2 S' L' B L' U',4-Mover,
SX,"[U' R' B R : [S' , R2']]",U' R' B R S' R2' S R B' R U,4-Mover,
TA,"[R U' : [R2' , S]]",R U' R2' S R2 S' U R',4-Mover,
TB,"[E : [R E' R' , U']]",E R E' R' U' R E R' U E',U-Swap,
TD,"[L E2' L' , U]",L E2' L' U L E2 L' U',U-Swap,
TE,"[l' : [E , L U' L']]",l' E L U' L' E' L U L' l,E-Swap,
TF,"[R2' : [R U' R' , E]]",R' U' R' E R U R' E' R2,E-Swap,
TG,"[L E2' : [L' U L , E']]",L E2' L' U L E' L' U' L E' L',E-Swap,
TH,"[R' U' R , E']",R' U' R E' R' U R E,E-Swap,
TJ,"[U R : [S , R2']]",U R S R2' S' R U',4-Mover,
TK,"[M' , U' R' U]",M' U' R' U M U' R U,M-Swap,
TL,"[R U' R : [E , R2']]",R U' R E R2' E' R U R',4-Mover,
TM,"[R u' R' : [E' , R2]]",R u' R' E' R2 E R' u R',4-Mover,
